name,institution,scholarship_level,match_status,lattes_code,lattes_name,public_lattes_id,lattes_url,photo_url,last_updated,orcid,summary,full_cv_text_length,looks_like_full_cv,blocked_or_invalid,sections_count,detail_json_path,raw_html_path,raw_text_path,error
Abilio Pereira de Lucena Filho,UFRJ,PQ-C,matched,K4781560E7,Abilio Pereira de Lucena Filho,0907883161698484,http://lattes.cnpq.br/0907883161698484,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4781560E7,24/03/2026,https://orcid.org/0000-0001-6627-7692,"Fez doutorado no Imperial College of Science Technology and Medicine (1986), mestrado em Engenharia Elétrica na Pontifícia Universidade Católica do Rio de Janeiro (1981) e graduação em Engenharia Eletrica (especialidade Sistemas) na Pontifícia Universidade Católica do Rio de Janeiro (1978). Tem dois pós-doutorados, feitos respectivamente na Erasmus Universiteit (1986), Rotterdam, Holanda, e no Center for Operations Research and Econometrics (1987), Université Catholique de Louvain, Bélgica. É Professor Titular da UFRJ desde 1998, inicialmente no Departamento de Administração (1998 a 2013) e a seguir na COPPE (Programa de Engenharia de Sistemas e Computação), desde 2013. No período de 1998 a 2013 atuou também como Professor {Colaborador,Pleno} da COPPE. Trabalhou ainda como Pesquisador Associado no Laboratório Nacional de Computação Científica (LNCC), de 1997 a 1998; como Professor Auxiliar no Departamento de Engenharia Elétrica da PUC-Rio, de 1996 a 1998; como Professor Colaborador no Departamento de Matemática Aplicada da UNICAMP, em 1994; e como Senior Research Fellow no Centre for Process Systems Engineering, Imperial College, Londres, Reino Unido, de 1989 a 1994. Foi Professor Visitante no Laboratório LIMOS, Université Blaise Pascal, Clermont-Ferrand, França, em 2007. Obteve a Operations Research Fellowship do CORE, Université Catholique de Louvain, em 1987. É co-inventor de uma patente americana na área de desenho de redes de telecomunicações. Orientou alunos de mestrado e doutorado que atualmente são professores nas seguintes universidade: Universidade de Buenos Aires (UBA), Argentina; Universidade Federal do Ceará (UFC); Universidade Federal Fluminense (UFF); Universidade Federal de Minas Gerais (UFMG); Universidade Federal Rural do Rio de Janeiro (UFRRJ); e Normandie Université, França. Tem também ex-orientandos trabalhando como pesquisadores no Centro de Pesquisas da Eletrobras (CEPEL). Possui experiência na área de Programação Matemática, com ênfase em Otimização Inteira e Combinatória. Atua principalmente em: formulações fortes, algoritmos de planos de corte, algoritmos relax-and-cut, algoritmos branch-and-cut e heurísticas Lagrangeanas. (Texto informado pelo autor)",62024,True,False,13,scrape_results/lattes_full/20260526_212601/raw/K4781560E7_Abilio_Pereira_de_Lucena_Filho/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4781560E7_Abilio_Pereira_de_Lucena_Filho/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4781560E7_Abilio_Pereira_de_Lucena_Filho/full_cv.txt,
Adenilso da Silva Simão,USP,PQ-C,matched,K4767859T8,Adenilso da Silva Simão,9836776931160228,http://lattes.cnpq.br/9836776931160228,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4767859T8,09/03/2026,https://orcid.org/0000-0002-1454-2607,"Possui graduação em Bacharelado em Ciência da Computação pela Universidade Estadual de Maringá (1997), mestrado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo (2000) e doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo (2004). Realizou estágio de pós-doutoramento no Centre de Recherche Informatique de Montreal (2008-2010). É Professor Titular da Universidade de São Paulo. Tem experiência na área de Ciência da Computação, com ênfase em Engenharia de Software, atuando principalmente nos seguintes temas: teste de software, métodos formais e linguagens de programação. Tem também experiência em Bioinfomática, especialmente na análise de dados biológicos. Na USP, atuou como coordenador do Bacharelado em Sistemas de Informação (Graduação), coordenador do Programa de Ciências da Computação e Matemática Computacional (Pós-Graduação), presidente da Comissão de Pós-Graduação do ICMC, coordenador da Câmara de Normas da Pró-Reitoria de Pós-Graduação, Pró-Reitor Adjunto de Pós-Graduação, Diretor do Centro de Informática de São Carlos, Vice-Diretor do ICMC. Atuou também como membro do Conselho da Sociedade Brasileira de Computação, Presidente da Comissão Especial de Métodos Formais, e membro da Comissão de Educação. Atuou como editor do Journal of Software Engineering Research and Development e como membro do corpo editorial da Science of Computer Programming. (Texto informado pelo autor)",95861,True,False,12,scrape_results/lattes_full/20260526_212601/raw/K4767859T8_Adenilso_da_Silva_Sim_o/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4767859T8_Adenilso_da_Silva_Sim_o/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4767859T8_Adenilso_da_Silva_Sim_o/full_cv.txt,
Adenilton José da Silva,UFPE,PQ-C,matched,K4265229D4,Adenilton José da Silva,0314035098884256,http://lattes.cnpq.br/0314035098884256,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4265229D4,01/04/2026,https://orcid.org/0000-0003-0019-7694,"Possui graduação em Licenciatura Plena em Matemática pela Universidade Federal Rural de Pernambuco(2008), mestrado em Ciências da Computação pela Universidade Federal de Pernambuco(2011) e doutorado em Ciências da Computação pela Universidade Federal de Pernambuco(2015). Atualmente é Professor Adjunto da Universidade Federal de Pernambuco, Revisor de periódico da Engineering Applications of Artificial Intelligence, Revisor de periódico da PLoS One, Revisor de periódico da MECHANICAL SYSTEMS AND SIGNAL PROCESSING e Revisor de periódico da NEUROCOMPUTING. Tem experiência na área de Ciência da Computação, com ênfase em Inteligência Artificial. Atuando principalmente nos seguintes temas:Computação Quântica, Redes Neurais Quânticas e Redes Neurais Artificiais. (Texto gerado automaticamente pela aplicação CVLattes)",79825,True,False,12,scrape_results/lattes_full/20260526_212601/raw/K4265229D4_Adenilton_Jos_da_Silva/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4265229D4_Adenilton_Jos_da_Silva/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4265229D4_Adenilton_Jos_da_Silva/full_cv.txt,
Adiel Teixeira de Almeida Filho,UFPE,PQ-2,matched,K4774268J5,Adiel Teixeira de Almeida Filho,9944976090960730,http://lattes.cnpq.br/9944976090960730,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4774268J5,06/05/2026,https://orcid.org/0000-0001-6069-3601,"Atualmente é Professor Titular no Centro de Informática da Universidade Federal de Pernambuco. Atua como membro (pesquisador) do INCT-IAIA e do IARA. Possui graduação, mestrado e doutorado em Engenharia de Produção pela Universidade Federal de Pernambuco, e atuou como pesquisador visitante na Universidade de Coimbra, University of Southampton e Poznan University of Technology. Orienta alunos de mestrado e doutorado nos Programas de Pós-Graduação em Ciência da Computação, com conceito 7 na Capes (2017-2020). Possui publicações nacionais e internacionais em congressos, livros, e artigos em periódicos científicos, dentre os quais: Applied Soft Computing, Annals of Operations Research, Computers Industrial Engineering, European Journal of Operational Research, Expert Systems with Applications, Information Sciences, International Transactions in Operational Research, IMA Journal of Management Mathematics, Journal of the Operational Research Society, Production and Operations Management, 4OR, Sustainable Cities and Society, Benchmarking, entre outros. Além disso, foi contemplado com prêmios relevantes em termos de publicação acadêmica com o EURO award 2019 de best EJOR paper na categoria Theory and Methodology (artigo premiado pela Associação Europeia das Sociedades de Pesquisa Operacional selecionado dentre mais de 1800 artigos nos anos de 2016-2017), aplicabilidade das pesquisas na sociedade (CFA Society) e orientação (ANPEPRO).Tem interesse principalmente em temas relacionados a Gestão Econômica e Financeira, Análise de Risco, Análise de Decisão, Preference Learning, Inteligência Computacional, Analytics, Pesquisa Operacional e Modelos para Gestão da Produção, Operações e Manutenção. (Texto informado pelo autor)",186341,True,False,14,scrape_results/lattes_full/20260526_212601/raw/K4774268J5_Adiel_Teixeira_de_Almeida_Filho/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4774268J5_Adiel_Teixeira_de_Almeida_Filho/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4774268J5_Adiel_Teixeira_de_Almeida_Filho/full_cv.txt,
Adriana Santarosa Vivacqua,UFRJ,PQ-C,matched,K4761749J8,Adriana Santarosa Vivacqua,6494676052801758,http://lattes.cnpq.br/6494676052801758,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4761749J8,26/03/2026,https://orcid.org/0000-0001-6830-5730,"Possui graduação pela Pontifícia Universidade Católica do Rio de Janeiro (1993), mestrado em Computação pela Universidade Federal Fluminense (1997), mestrado em Media Arts and Sciences pelo Massachusetts Institute of Technology (1999) e doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro (2007) em co-tutela com a Université de Tecnologie de Compiègne, e pós-doutorado pela Universidad Politécnica de Valencia. Atualmente é professora do Instituto de Computação da Universidade Federal do Rio de Janeiro, e atua no Programa de Pós-Graduação em Informática. Atua nas áreas de Interação Homem Computador e Trabalho Cooperativo Apoiado por Computador, nos temas: interação humano-dados, colaboracao em grupos de desenvolvimento de software e colaboração humano-IA. Atua também como VP for Membership da ACM SIGCHI, uma das principais sociedades cientificas de IHC do mundo. Foi Jovem Cientista do Nosso Estado pela FAPERJ (2012-2015 e 2015-2018). (Texto informado pelo autor)",191865,True,False,13,scrape_results/lattes_full/20260526_212601/raw/K4761749J8_Adriana_Santarosa_Vivacqua/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4761749J8_Adriana_Santarosa_Vivacqua/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4761749J8_Adriana_Santarosa_Vivacqua/full_cv.txt,
Adriano Alonso Veloso,UFMG,PQ-2,matched,K4762232P7,Adriano Alonso Veloso,9973021912226739,http://lattes.cnpq.br/9973021912226739,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4762232P7,26/09/2025,https://orcid.org/0000-0002-9177-4954,"Possui graduação, mestrado e doutorado em Ciência da Computação pela Universidade Federal de Minas Gerais (2001, 2003 e 2009). Pós-doutorado em Cornell (2013). Atualmente é professor adjunto da Universidade Federal de Minas Gerais. Suas áreas de interesse incluem aspectos teóricos e práticos do Aprendizado de Máquina. É membro do Instituto Nacional de Ciência e Tecnologia para a Web. É membro afiliado da Acadêmia Brasileira de Ciências. Foi Diretor de Produção Científica da Universidade Federal de Minas Gerais (2012-2014). (Texto informado pelo autor)",136708,True,False,14,scrape_results/lattes_full/20260526_212601/raw/K4762232P7_Adriano_Alonso_Veloso/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4762232P7_Adriano_Alonso_Veloso/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4762232P7_Adriano_Alonso_Veloso/full_cv.txt,
Adriano Lorena Inacio de Oliveira,UFPE,PQ-1D,matched,K4723783Z8,Adriano Lorena Inacio de Oliveira,5194381227316437,http://lattes.cnpq.br/5194381227316437,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4723783Z8,18/01/2026,,"Atualmente é Professor Associado 1 do Centro de Informática da Universidade Federal de Pernambuco (UFPE) e bolsista de produtividade em pesquisa do CNPq, nível 1D. Está na faixa de 2 por cento dos cientistas mais influentes do mundo na área de Inteligência Artificial e Processamento de Imagens ao longo de toda a sua carreira e nos anos de 2019 a 2025, em cada edição anual, desde a edição de 2020, segundo estudos da Elsevier (https://elsevier.digitalcommonsdata.com/datasets/btchxktzyw/8). Foi Professor Visitante da École de Technologie Supérieure (ÉTS, Université du Québec, Montréal, Canadá) de julho de 2018 a junho de 2019. Possui graduação em Engenharia Eletrônica pela UFPE (1993), mestrado em Ciências da Computação pela UFPE (1997) e doutorado em Ciências da Computação pela Universidade Federal de Pernambuco (2004). Tem experiência na área de Ciência da Computação, com ênfase em Inteligência Computacional, atuando principalmente nos seguintes temas: aprendizagem de máquina, redes neurais artificiais, inteligência computacional e aplicações. Orientou 13 teses de doutorado (+1 co-orientação), 24 dissertações de Mestrado (+3 co-orientações), 24 trabalhos de Iniciação Científica e 40 trabalhos de conclusão de curso de graduação. Publicou 49 artigos completos em periódicos internacionais, 1 livro internacional, 2 artigos completos em periódicos nacionais, 135 artigos em conferências, a maior parte internacionais, e 4 capítulos de livro. É Membro Senior do IEEE, faz parte do Editorial Board (Regular Section) da Neurocomputing e é revisor de diversos periódicos internacionais como IEEE Transactions on Systems, Man and Cybernetics. Part B, Cybernetics; IEEE Transactions on Neural Networks e Neurocomputing. Participou da equipe que fundou o Mestrado em Engenharia da Computação da UPE (2004). Coordenou este Mestrado entre 2008 e 2009. (Texto informado pelo autor)",214143,True,False,14,scrape_results/lattes_full/20260526_212601/raw/K4723783Z8_Adriano_Lorena_Inacio_de_Oliveira/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4723783Z8_Adriano_Lorena_Inacio_de_Oliveira/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4723783Z8_Adriano_Lorena_Inacio_de_Oliveira/full_cv.txt,
Afonso Paiva Neto,USP,PQ-2,matched,K4702114J7,Afonso Paiva Neto,9274817658247444,http://lattes.cnpq.br/9274817658247444,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4702114J7,13/05/2026,http://orcid.org/0000-0001-8229-3385,"possui graduação em Bacharelado em Matematica pela Universidade Federal de Uberlândia (2000), mestrado em Matemática pela Associação Instituto Nacional de Matemática Pura e Aplicada (2003) e doutorado em Matemática pela Pontifícia Universidade Católica do Rio de Janeiro (2007). Tem experiência na área de Matemática Aplicada, com ênfase em Computação Gráfica e atualmente suas principais áreas de interesse são: modelagem computacional de fenômenos físicos, modelagem geométrica, dinâmica dos fluidos computacional e métodos numéricos auto-validados. (Texto informado pelo autor)",106312,True,False,12,scrape_results/lattes_full/20260526_212601/raw/K4702114J7_Afonso_Paiva_Neto/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4702114J7_Afonso_Paiva_Neto/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4702114J7_Afonso_Paiva_Neto/full_cv.txt,
Agma Juci Machado Traina,USP,PQ-1B,matched,K4797818Z6,Agma Juci Machado Traina,5136155977351408,http://lattes.cnpq.br/5136155977351408,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4797818Z6,12/05/2026,https://orcid.org/0000-0003-4929-7258,"É Bel. em Ciências de Computação pela Universidade de São Paulo (1983), com Mestrado em Ciências de Computação pelo ICMSC da Universidade de São Paulo (1987), e Doutorado em Física Computacional pela Universidade de São Paulo (1991), e pós-doutorado em Computação pela Carnegie Mellon University (1998-2000). Atualmente é Professora Titular no Instituto de Ciências Matemáticas e de Computação da Universidade de São Paulo (SP). Preside a Câmara de Atividades Docentes (CAD) da Universidade de São Paulo desde 2025. Supervisionou mais de 60 alunos de Pós-Graduação e tem coordenado projetos de pesquisa em grandes redes nacionais e internacionais. Tem experiência na área de Ciências da Computação, com ênfase em Processamento Gráfico (Graphics) e Bases de Dados Complexos, atuando principalmente nos seguintes temas: inteligência de dados, recuperação de imagens baseada em conteúdo, imagens médicas, CBIR, consultas por similaridade, extração de características de imagens, visualização de informações e mineração de imagens e dados complexos. (Texto informado pelo autor)",457116,True,False,13,scrape_results/lattes_full/20260526_212601/raw/K4797818Z6_Agma_Juci_Machado_Traina/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4797818Z6_Agma_Juci_Machado_Traina/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4797818Z6_Agma_Juci_Machado_Traina/full_cv.txt,
Ajalmar Rêgo da Rocha Neto,IFCE,PQ-2,matched,K4700345J0,Ajalmar Rêgo da Rocha Neto,4524723055652545,http://lattes.cnpq.br/4524723055652545,http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4700345J0,12/01/2026,,"Ajalmar Rocha Neto é mestre (2006) e doutor (2011) em Inteligência Artificial, com ênfase na área de Aprendizado de Máquinas, tendo realizado seu mestrado e doutorado no Departamento de Engenharia de Teleinformática da Universidade Federal do Ceará (UFC). Além disto, é bacharel (2004) em Ciência da Computação pela Universidade Estadual do Piauí (UESPI). Fez doutorado sanduíche (2010-2011) também em Aprendizado de Máquinas na Faculdade de Engenharia da Universidade do Porto (FEUP) em Portugal, tendo desenvolvido suas atividades no Instituto de Engenharia e Sistemas de Computadores (INESC). É atualmente bolsista de produtividade do CNPq com projeto na área de aprendizado de máquinas (para o triênio 2024-2027) e, portanto, encontra-se no seleto grupo de pesquisadores reconhecidos pelos pares em sua área de atuação. Teve outros 2 projetos de bolsa de produtividade contemplados também em aprendizado de máquinas, sendo bolsista de produtividade desde 2018. Em 2011, ganhou o prêmio ""Best Paper of Young Research"" no IWANN'2011, e por isto passou um mês realizando pesquisa conjunta com um grupo de aprendizado de máquina do Centro de Investigación en Tecnologías de La Información y de las Comunicaciones (CITIC) de la Universidad De Granada (UGR). Desde 2007 é professor do Instituto Federal do Ceará (IFCE) e atualmente coordena o Laboratório de Inteligência Artificial (LIA) do programa de pós-graduação em ciência da computação (PPGCC) do IFCE. É docente permanente do Programa de Pós-Graduação em Ciência da Computação (PPGCC) e do Programa de Pós-graduação em Engenharia de Telecomunicações (PPGET), ambos do IFCE. É colaborador do Programa de Pós-graduação em Engenharia de Teleinformática (PPGETI) da UFC. Nestes programas realiza orientação de alunos de mestrado e doutorado. Em termos de publicação, tem mais de 80 artigos (em periódicos, conferências nacionais e internacionais) na área de inteligência artificial/aprendizado de máquinas; bem como possui patente concedida e diversos registros de software. Os temas de interesse de pesquisa em Inteligência artificial são aprendizado de máquina, visão computacional, computação gráfica, dentre outras. (Texto informado pelo autor)",119666,True,False,13,scrape_results/lattes_full/20260526_212601/raw/K4700345J0_Ajalmar_R_go_da_Rocha_Neto/full_profile.json,scrape_results/lattes_full/20260526_212601/raw/K4700345J0_Ajalmar_R_go_da_Rocha_Neto/full_cv.html,scrape_results/lattes_full/20260526_212601/raw/K4700345J0_Ajalmar_R_go_da_Rocha_Neto/full_cv.txt,
