LISTA COMPACTA DE PERFIS
Cada linha tem: nome | primeiro_nome | sexo_inferido | instituição | bolsa | categoria_bolsa | UF | região
Abilio Pereira de Lucena Filho | Abilio | male | UFRJ | PQ-C | PQ-C | RJ | Sudeste
Adenilso da Silva Simão | Adenilso | male | USP | PQ-C | PQ-C | SP | Sudeste
Adenilton José da Silva | Adenilton | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Adiel Teixeira de Almeida Filho | Adiel | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Adriana Santarosa Vivacqua | Adriana | female | UFRJ | PQ-C | PQ-C | RJ | Sudeste
Adriano Alonso Veloso | Adriano | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Adriano Lorena Inacio de Oliveira | Adriano | male | UFPE | PQ-1D | PQ-1 | PE | Nordeste
Afonso Paiva Neto | Afonso | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Agma Juci Machado Traina | Agma | female | USP | PQ-1B | PQ-1 | SP | Sudeste
Ajalmar Rêgo da Rocha Neto | Ajalmar | male | IFCE | PQ-2 | PQ-2 | CE | Nordeste
Alba Cristina Magalhães Alves de Melo | Alba | male | UnB | PQ-1C | PQ-1 | DF | Centro-Oeste
Alberto Egon Schaeffer Filho | Alberto | male | UFRGS | PQ-C | PQ-C | RS | Sul
Alberto Ferreira De Souza | Alberto | male | UFES | PQ-2 | PQ-2 | ES | Sudeste
Alberto Henrique Frade Laender | Alberto | male | UFMG | PQ-A | unknown | MG | Sudeste
Alceu de Souza Britto Jr | Alceu | male | PUC/PR | PQ-1D | PQ-1 | PR | Sul
Aldo von Wangenheim | Aldo | male | UFSC | PQ-2 | PQ-2 | SC | Sul
Aldri Luiz dos Santos | Aldri | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Alessandro Fabricio Garcia | Alessandro | male | PUC-Rio | PQ-A | unknown | RJ | Sudeste
Aletéia Patrícia Favacho de Araújo von Paumgartten | Aletéia | female | UnB | PQ-C | PQ-C | DF | Centro-Oeste
Alex Borges Vieira | Alex | male | UFJF | PQ-C | PQ-C | MG | Sudeste
Alexandre Cabral Mota | Alexandre | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Alexandre Luís Magalhães Levada | Alexandre | male | UFSCAR | PQ-C | PQ-C | SP | Sudeste
Alexandre Plastino de Carvalho | Alexandre | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Alexandre Salles da Cunha | Alexandre | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Alexandre Xavier Falcão | Alexandre | male | UNICAMP | PQ-1A | PQ-1 | SP | Sudeste
Alexandro José Baldassin | Alexandro | male | UNESP | PQ-2 | PQ-2 | SP | Sudeste
Alfredo Goldman vel Lejbman | Alfredo | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Aline Marins Paes Carvalho | Aline | female | UFF | PQ-2 | PQ-2 | RJ | Sudeste
Alisson Marques da Silva | Alisson | male | CEFET/MG | PQ-C | PQ-C | MG | Sudeste
Alisson Vasconcelos de Brito | Alisson | male | UFPB | PQ-C | PQ-C | PB | Nordeste
Alneu de Andrade Lopes | Alneu | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Altigran Soares da Silva | Altigran | male | UFAM | PQ-A | unknown | AM | Norte
Aluizio Fausto Ribeiro Araújo | Aluizio | male | UFPE | PQ-1C | PQ-1 | PE | Nordeste
Amauri Holanda de Souza Júnior | Amauri | male | IFCE | PQ-C | PQ-C | CE | Nordeste
Ana Carolina Lorena | Ana | female | ITA | PQ-2 | PQ-2 | SP | Sudeste
Ana Cristina Bicharra Garcia | Ana | female | UNIRIO | PQ-C | PQ-C | RJ | Sudeste
Ana Lucia Cetertich Bazzan | Ana | female | UFRGS | PQ-1C | PQ-C | RS | Sul
Ana Paula Couto da Silva | Ana | female | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Ana Shirley Ferreira da Silva | Ana | female | UFC | PQ-2 | PQ-2 | CE | Nordeste
Anderson de Rezende Rocha | Anderson | male | UNICAMP | PQ-1C | PQ-1 | SP | Sudeste
André Carlos Ponce de Leon Ferreira de Carvalho | André | male | USP | PQ-1A | PQ-1 | SP | Sudeste
André Castelo Branco Soares | André | male | UFPI | PQ-C | PQ-C | PI | Nordeste
Andre Cavalcante Hora | Andre | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
André Fujita | André | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Andre Luiz Lins de Aquino | Andre | male | UFAL | PQ-1D | PQ-1 | AL | Nordeste
André Pimenta Freire | André | male | UFLA | PQ-C | PQ-C | MG | Sudeste
André Ricardo Abed Grégio | André | male | UFPR | PQ-2 | PQ-2 | PR | Sul
André Ricardo Backes | André | male | UFSCAR | PQ-C | PQ-C | SP | Sudeste
Andreia Malucelli | Andreia | female | PUC/PR | PQ-C | PQ-C | PR | Sul
Angelo Perkusich | Angelo | male | UFCG | PQ-C | PQ-C | PB | Nordeste
Anisio Mendes Lacerda | Anisio | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Anna Helena Reali Costa | Anna | female | USP | PQ-2 | PQ-2 | SP | Sudeste
Anselmo Cardoso de Paiva | Anselmo | male | UFMA | PQ-2 | PQ-2 | MA | Nordeste
Antonio Alfredo Ferreira Loureiro | Antonio | male | UFMG | PQ-A | unknown | MG | Sudeste
Antonio Augusto de Aragao Rocha | Antonio | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Antonio Augusto Medeiros Fröhlich | Antonio | male | UFSC | PQ-2 | PQ-2 | SC | Sul
Antonio de Padua Braga | Antonio | male | UFMG | PQ-1D | PQ-1 | MG | Sudeste
Aristófanes Corrêa Silva | Aristófanes | male | UFMA | PQ-2 | PQ-2 | MA | Norte
Augusto Cezar Alves Sampaio | Augusto | male | UFPE | PQ-1A | PQ-1 | PE | Nordeste
Augusto José Venâncio Neto | Augusto | male | UFRN | PQ-C | PQ-C | RN | Nordeste
